Timestamp,Year Group,Room,RoomDecor,RoomLearn
7/31/2025,Year 8,A11,3,8
7/31/2025,Year 8,B5,8,10
8/4/2025,Year 8,TAS1,4,7
8/4/2025,Year 10,B4,10,10
,Year 10,B2,10,10
,Year 10,B6,10,10
,Year 10,W2,10,10
,Year 10,W3,10,10
,Year 10,M1,10,10
,Year 10,M2,10,10
8/7/2025,Year 7,B3,7,9
8/11/2025,Year 8,D3,8,9
8/12/2025,Year 11,B2,7,7
8/12/2025,Year 11,L2,6,9
8/12/2025,Year 12,A69,10,10
8/12/2025,Year 11,A1,5,8
8/12/2025,Year 11,LIB1,7,8
8/12/2025,Year 7,"A12, CR2",3,10
,Year 7,CR2,3,10
8/14/2025,Year 9,B2,7,8
8/14/2025,Year 9,B2,9,10
8/14/2025,Year 9,A7,9,8
,Year 9,LS1,9,8
,Year 9,LS2,9,8
,Year 9,LS3,9,8
,Year 9,L1,9,8
,Year 9,L2,9,8
,Year 9,L3,9,8
,Year 9,L4,9,8
,Year 9,L5,9,8
,Year 9,L6,9,8
8/14/2025,Year 9,L2,6,7
7/27/2025,Year 11,LIB1,7,7
7/27/2025,Year 11,L3,7,7
7/29/2025,Year 8,B2,9,9
7/29/2025,Year 8,A16,4,5
7/29/2025,Year 8,L5,8,8
7/29/2025,Year 8,D1,7,8
7/29/2025,Year 8,D2,7,8
7/29/2025,Year 8,D3,7,8
7/29/2025,Year 8,D4,7,8
7/29/2025,Year 8,MMC,7,9
7/29/2025,Year 8,A14,7,9
7/29/2025,Year 7,B3,8,8
7/29/2025,Year 7,A19,3,9
7/29/2025,Year 7,D4,2,9
7/29/2025,Year 7,B1,9,10
7/29/2025,Year 7,L3,6,10
7/29/2025,Year 7,AR3,9,8
7/29/2025,Year 7,A9,4,5
7/29/2025,Year 8,D4,8,9
7/29/2025,Year 8,A10,2,8
7/29/2025,Year 8,A19,2,8
7/29/2025,Year 11,A7,6,5
7/29/2025,Year 11,A9,6,5
7/29/2025,Year 7,A15,7,8
7/29/2025,Year 7,A1,7,8
7/29/2025,Year 7,A2,7,8
7/29/2025,Year 7,A4,7,8
7/29/2025,Year 7,A5,7,8
7/29/2025,Year 7,A6,7,8
7/29/2025,Year 7,A7,7,8
7/29/2025,Year 7,A8,7,8
7/29/2025,Year 7,A9,7,8
7/29/2025,Year 7,A10,7,8
7/29/2025,Year 7,A11,7,8
7/29/2025,Year 7,A12,7,8
7/29/2025,Year 7,A13,7,8
7/29/2025,Year 7,A14,7,8
7/29/2025,Year 7,A16,7,8
7/29/2025,Year 7,A17,7,8
7/29/2025,Year 7,A18,7,8
7/29/2025,Year 7,A19,7,8
7/29/2025,Year 7,B2,8,8
7/29/2025,Year 7,B6,8,8
7/29/2025,Year 8,A17,2,8
7/29/2025,Year 8,A8,7,8
7/29/2025,Year 8,A13,2,3
7/29/2025,Year 8,LS1,5,7
7/29/2025,Year 8,LS2,5,7
7/29/2025,Year 8,MMC,5,7
7/29/2025,Year 8,A14,5,7
7/29/2025,Year 10,B2,9,7
7/29/2025,Year 7,D1,9,9
7/29/2025,Year 7,TX2,5,7
7/29/2025,Year 11,B2,7,7
7/29/2025,Year 7,A9,8,8
7/29/2025,Year 7,W2,1,10
